hostname,port,transceiver-serial-number
ixrr6d-a,1/1/c1,5XD804N00017    
ixrr6d-a,1/1/c2,5XD804N00017    
ixrr6d-a,1/1/c3,5XD804N00017    
ixrr6d-a,1/1/c4,5XD804N00017    
ixrr6d-a,1/1/c5,5XD804N00017    
ixre2c,1/1/c1,P0HCUW0         
ixre2c,1/1/c2,P0HCUW0         
ixre2c,1/1/c3,P0HCUW0         
ixre2c,1/1/c4,P0HCUW0         
ixre2c,1/1/c5,P0HCUW0         
ixre2c,1/1/c6,P0HCUW0         
ixre2c,1/1/c7,P0HCUW0         
ixre2c,1/1/c8,P0HCUW0         
ixre2c,1/1/c9,P0HCUW0         
ixre2c,1/1/c10,P0HCUW0         
ixre2c,1/1/c11,P0HCUW0         
ixre2c,1/1/c12,P0HCUW0         
ixre2c,1/1/c13,5XD804N00017    
ixre2c,1/1/c14,5XD804N00017    

